index,word,occurrence
5638,concentration,2
9090,concentric,1
461,concern,29
1662,concerned,10
6330,concerns,3
2790,concluded,2
6670,conclusion,1
3479,concoction,1
4521,concussion,2
3439,condemn,2
8146,condemned,2
8357,condemning,1
8996,condescending,2
4697,condition,7
5631,conditions,4
9073,condolence,1
8070,conduct,1
6624,conducted,1
2724,confederation,2
8147,confess,3
8164,confessed,2
8168,confessing,1
6075,confession,19
6906,confessions,7
3080,confessor,237
3496,confessors,90
7462,confided,2
1438,confidence,3
1915,confident,7
7546,confidentially,1
5932,confidently,2
6219,confines,2
5957,confining,1
9221,confirm,3
1286,confirmation,2
4564,confirmed,2
3903,conflict,3
2222,confront,1
2412,confronted,3
5804,confuse,2
1769,confused,24
7281,confusing,3
2116,confusion,17
7095,congratulate,1
2191,congratulated,1
4453,congratulating,1
4089,congratulations,1
8206,congratulationsyou,1
2784,conjured,3
8879,connected,2
986,connection,5
6679,conquer,2
2741,conquered,2
4209,conscience,2
1364,conscious,5
6411,consciousness,3
4061,consequence,2
2911,consequences,7
4662,consequential,1
1250,consider,8
1841,considerable,2
3943,considerably,1
6735,consideration,2
3389,considered,20
1582,considering,9
2982,considers,3
8455,consolation,1
7211,consoled,1
2038,conspiracy,3
3604,conspiratorially,2
2032,conspirators,1
9567,conspiring,1
9098,constance,77
9179,constancedenna,1
9102,constances,9
668,constant,9
1829,constantly,5
7768,constricting,2
6840,construct,1
5029,constructed,3
6875,construction,2
6125,consult,2
8213,consume,1
3417,consumed,4
3406,consuming,4
2848,contact,11
6388,contacting,1
7799,contain,1
4073,contained,1
4048,containing,1
